2026-04-22 21:11:11,263 - INFO - ================================================================================
2026-04-22 21:11:11,264 - INFO - INICIANDO PROCESO DE IMPORTACIÓN CRD1 (DIRECCIONES DE CLIENTES)
2026-04-22 21:11:11,279 - INFO - ================================================================================
2026-04-22 21:11:11,282 - INFO - Buscando archivo Excel...
2026-04-22 21:11:11,282 - INFO - Directorio del script: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_CRD1
2026-04-22 21:11:11,284 - INFO - Archivos Excel encontrados: CRD1.xlsx
2026-04-22 21:11:11,286 - INFO - Leyendo archivo: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_CRD1\CRD1.xlsx
2026-04-22 21:13:00,067 - INFO - Registros encontrados: 243347
2026-04-22 21:13:00,100 - INFO - Columnas: Address, CardCode, AdresType, U_BO_Name, U_BO_LastName, U_BO_Cellolar, Street, Block, State, City, County, Status_Integration, Status_Comments, CreationDate
2026-04-22 21:13:04,455 - WARNING -   5 valores en 'CreationDate' no pudieron parsearse y se insertaran como NULL
2026-04-22 21:13:04,483 - INFO - Conectando a SQL Server...
2026-04-22 21:13:06,712 - INFO - ✓ Conexión establecida exitosamente
2026-04-22 21:13:06,783 - INFO - Procesando 243347 registros...
2026-04-22 21:13:29,632 - INFO - Progreso: 100/243347 (0.0%) - Insertados: 0, Actualizados: 100
2026-04-22 21:13:51,514 - INFO - Progreso: 200/243347 (0.1%) - Insertados: 0, Actualizados: 200
2026-04-22 21:14:13,700 - INFO - Progreso: 300/243347 (0.1%) - Insertados: 0, Actualizados: 300
2026-04-22 21:14:36,432 - INFO - Progreso: 400/243347 (0.2%) - Insertados: 0, Actualizados: 400
2026-04-22 21:14:58,840 - INFO - Progreso: 500/243347 (0.2%) - Insertados: 0, Actualizados: 500
2026-04-22 21:15:21,568 - INFO - Progreso: 600/243347 (0.2%) - Insertados: 0, Actualizados: 600
2026-04-22 21:15:43,832 - INFO - Progreso: 700/243347 (0.3%) - Insertados: 0, Actualizados: 700
2026-04-22 21:16:06,536 - INFO - Progreso: 800/243347 (0.3%) - Insertados: 0, Actualizados: 800
2026-04-22 21:16:28,528 - INFO - Progreso: 900/243347 (0.4%) - Insertados: 0, Actualizados: 900
2026-04-22 21:16:50,007 - INFO - Progreso: 1000/243347 (0.4%) - Insertados: 0, Actualizados: 1000
2026-04-22 21:17:11,549 - INFO - Progreso: 1100/243347 (0.5%) - Insertados: 0, Actualizados: 1100
2026-04-22 21:17:33,382 - INFO - Progreso: 1200/243347 (0.5%) - Insertados: 0, Actualizados: 1200
2026-04-22 21:17:55,083 - INFO - Progreso: 1300/243347 (0.5%) - Insertados: 0, Actualizados: 1300
2026-04-22 21:18:16,466 - INFO - Progreso: 1400/243347 (0.6%) - Insertados: 0, Actualizados: 1400
2026-04-22 21:18:37,682 - INFO - Progreso: 1500/243347 (0.6%) - Insertados: 0, Actualizados: 1500
2026-04-22 21:18:58,838 - INFO - Progreso: 1600/243347 (0.7%) - Insertados: 0, Actualizados: 1600
2026-04-22 21:19:20,114 - INFO - Progreso: 1700/243347 (0.7%) - Insertados: 0, Actualizados: 1700
2026-04-22 21:19:41,377 - INFO - Progreso: 1800/243347 (0.7%) - Insertados: 0, Actualizados: 1800
2026-04-22 21:20:02,647 - INFO - Progreso: 1900/243347 (0.8%) - Insertados: 0, Actualizados: 1900
2026-04-22 21:20:23,922 - INFO - Progreso: 2000/243347 (0.8%) - Insertados: 0, Actualizados: 2000
2026-04-22 21:20:45,234 - INFO - Progreso: 2100/243347 (0.9%) - Insertados: 0, Actualizados: 2100
2026-04-22 21:21:06,955 - INFO - Progreso: 2200/243347 (0.9%) - Insertados: 0, Actualizados: 2200
2026-04-22 21:21:28,672 - INFO - Progreso: 2300/243347 (0.9%) - Insertados: 0, Actualizados: 2300
2026-04-22 21:21:50,288 - INFO - Progreso: 2400/243347 (1.0%) - Insertados: 0, Actualizados: 2400
2026-04-22 21:22:12,212 - INFO - Progreso: 2500/243347 (1.0%) - Insertados: 0, Actualizados: 2500
2026-04-22 21:22:33,922 - INFO - Progreso: 2600/243347 (1.1%) - Insertados: 0, Actualizados: 2600
2026-04-22 21:22:55,699 - INFO - Progreso: 2700/243347 (1.1%) - Insertados: 0, Actualizados: 2700
2026-04-22 21:23:17,311 - INFO - Progreso: 2800/243347 (1.2%) - Insertados: 0, Actualizados: 2800
2026-04-22 21:23:38,939 - INFO - Progreso: 2900/243347 (1.2%) - Insertados: 0, Actualizados: 2900
2026-04-22 21:24:00,808 - INFO - Progreso: 3000/243347 (1.2%) - Insertados: 0, Actualizados: 3000
2026-04-22 21:24:22,643 - INFO - Progreso: 3100/243347 (1.3%) - Insertados: 0, Actualizados: 3100
2026-04-22 21:24:44,816 - INFO - Progreso: 3200/243347 (1.3%) - Insertados: 0, Actualizados: 3200
2026-04-22 21:25:07,509 - INFO - Progreso: 3300/243347 (1.4%) - Insertados: 0, Actualizados: 3300
2026-04-22 21:25:29,954 - INFO - Progreso: 3400/243347 (1.4%) - Insertados: 0, Actualizados: 3400
2026-04-22 21:25:52,024 - INFO - Progreso: 3500/243347 (1.4%) - Insertados: 0, Actualizados: 3500
2026-04-22 21:26:14,171 - INFO - Progreso: 3600/243347 (1.5%) - Insertados: 0, Actualizados: 3600
2026-04-22 21:26:36,497 - INFO - Progreso: 3700/243347 (1.5%) - Insertados: 0, Actualizados: 3700
2026-04-22 21:26:58,317 - INFO - Progreso: 3800/243347 (1.6%) - Insertados: 0, Actualizados: 3800
2026-04-22 21:27:19,823 - INFO - Progreso: 3900/243347 (1.6%) - Insertados: 0, Actualizados: 3900
2026-04-22 21:27:41,303 - INFO - Progreso: 4000/243347 (1.6%) - Insertados: 0, Actualizados: 4000
2026-04-22 21:28:02,847 - INFO - Progreso: 4100/243347 (1.7%) - Insertados: 0, Actualizados: 4100
2026-04-22 21:28:24,646 - INFO - Progreso: 4200/243347 (1.7%) - Insertados: 0, Actualizados: 4200
2026-04-22 21:28:46,127 - INFO - Progreso: 4300/243347 (1.8%) - Insertados: 0, Actualizados: 4300
