2026-05-21 14:12:23,553 - INFO - ================================================================================
2026-05-21 14:12:23,554 - INFO - INICIANDO PROCESO DE IMPORTACIÓN CRD1 (DIRECCIONES DE CLIENTES)
2026-05-21 14:12:23,554 - INFO - ================================================================================
2026-05-21 14:12:23,555 - INFO - Buscando archivo Excel...
2026-05-21 14:12:23,555 - INFO - Directorio del script: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_CRD1
2026-05-21 14:12:23,555 - INFO - Archivos Excel encontrados: CRD1.xlsx
2026-05-21 14:12:23,555 - INFO - Leyendo archivo: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_CRD1\CRD1.xlsx
2026-05-21 14:12:39,254 - INFO - Registros encontrados: 93349
2026-05-21 14:12:39,254 - INFO - Columnas: Address, CardCode, AdresType, U_BO_Name, U_BO_LastName, U_BO_Cellolar, Street, Block, State, City, County, Status_Integration, Status_Comments, CreationDate
2026-05-21 14:12:39,550 - INFO - Conectando a SQL Server...
2026-05-21 14:12:40,587 - INFO - ✓ Conexión establecida exitosamente
2026-05-21 14:12:40,677 - INFO - Procesando 93349 registros...
2026-05-21 14:13:03,225 - INFO - Progreso: 100/93349 (0.1%) - Insertados: 100, Actualizados: 0
2026-05-21 14:13:25,440 - INFO - Progreso: 200/93349 (0.2%) - Insertados: 200, Actualizados: 0
2026-05-21 14:13:47,709 - INFO - Progreso: 300/93349 (0.3%) - Insertados: 300, Actualizados: 0
2026-05-21 14:14:10,073 - INFO - Progreso: 400/93349 (0.4%) - Insertados: 400, Actualizados: 0
2026-05-21 14:14:32,468 - INFO - Progreso: 500/93349 (0.5%) - Insertados: 500, Actualizados: 0
2026-05-21 14:14:55,118 - INFO - Progreso: 600/93349 (0.6%) - Insertados: 600, Actualizados: 0
2026-05-21 14:15:17,902 - INFO - Progreso: 700/93349 (0.7%) - Insertados: 700, Actualizados: 0
2026-05-21 14:15:40,190 - INFO - Progreso: 800/93349 (0.9%) - Insertados: 800, Actualizados: 0
2026-05-21 14:16:02,551 - INFO - Progreso: 900/93349 (1.0%) - Insertados: 900, Actualizados: 0
2026-05-21 14:16:25,420 - INFO - Progreso: 1000/93349 (1.1%) - Insertados: 1000, Actualizados: 0
2026-05-21 14:16:47,929 - INFO - Progreso: 1100/93349 (1.2%) - Insertados: 1100, Actualizados: 0
2026-05-21 14:17:10,435 - INFO - Progreso: 1200/93349 (1.3%) - Insertados: 1200, Actualizados: 0
2026-05-21 14:17:33,262 - INFO - Progreso: 1300/93349 (1.4%) - Insertados: 1300, Actualizados: 0
2026-05-21 14:17:56,400 - INFO - Progreso: 1400/93349 (1.5%) - Insertados: 1400, Actualizados: 0
2026-05-21 14:18:19,059 - INFO - Progreso: 1500/93349 (1.6%) - Insertados: 1500, Actualizados: 0
2026-05-21 14:18:41,565 - INFO - Progreso: 1600/93349 (1.7%) - Insertados: 1600, Actualizados: 0
2026-05-21 14:19:04,073 - INFO - Progreso: 1700/93349 (1.8%) - Insertados: 1700, Actualizados: 0
2026-05-21 14:19:26,484 - INFO - Progreso: 1800/93349 (1.9%) - Insertados: 1800, Actualizados: 0
2026-05-21 14:19:49,221 - INFO - Progreso: 1900/93349 (2.0%) - Insertados: 1900, Actualizados: 0
2026-05-21 14:20:11,610 - INFO - Progreso: 2000/93349 (2.1%) - Insertados: 2000, Actualizados: 0
2026-05-21 14:20:33,917 - INFO - Progreso: 2100/93349 (2.2%) - Insertados: 2100, Actualizados: 0
2026-05-21 14:20:56,266 - INFO - Progreso: 2200/93349 (2.4%) - Insertados: 2200, Actualizados: 0
2026-05-21 14:21:18,665 - INFO - Progreso: 2300/93349 (2.5%) - Insertados: 2300, Actualizados: 0
2026-05-21 14:21:40,977 - INFO - Progreso: 2400/93349 (2.6%) - Insertados: 2400, Actualizados: 0
2026-05-21 14:22:03,318 - INFO - Progreso: 2500/93349 (2.7%) - Insertados: 2500, Actualizados: 0
2026-05-21 14:22:25,739 - INFO - Progreso: 2600/93349 (2.8%) - Insertados: 2600, Actualizados: 0
